Timestamp,Composite_Stress_Score,Optical_BPM,Blink_BPM,AU4_Corrugator_Z_Score,AU23_Orbicularis_Oris_Z_Score,Detected_Anomalies
10:51:24.861,1.48,82,18,-0.7,-0.27,COGNITIVE RIGIDITY
10:51:24.893,2.83,82,18,-0.73,-0.27,COGNITIVE RIGIDITY
10:51:24.923,4.06,82,18,-0.74,-0.27,COGNITIVE RIGIDITY
10:51:24.959,5.17,82,18,-0.74,-0.31,COGNITIVE RIGIDITY
10:51:24.990,6.18,82,18,-0.73,-0.33,COGNITIVE RIGIDITY
10:51:25.022,7.11,82,17,-0.71,-0.38,COGNITIVE RIGIDITY
10:51:25.055,7.96,82,17,-0.68,-0.44,COGNITIVE RIGIDITY
10:51:25.087,8.71,82,17,-0.65,-0.45,COGNITIVE RIGIDITY
10:51:25.118,9.38,82,17,-0.62,-0.46,COGNITIVE RIGIDITY
10:51:25.154,9.98,82,17,-0.62,-0.45,COGNITIVE RIGIDITY
10:51:25.192,10.54,82,17,-0.65,-0.47,COGNITIVE RIGIDITY
10:51:25.226,11.07,82,17,-0.66,-0.51,COGNITIVE RIGIDITY
10:51:25.262,11.55,82,17,-0.65,-0.52,COGNITIVE RIGIDITY
10:51:25.293,11.98,82,17,-0.65,-0.52,COGNITIVE RIGIDITY
10:51:25.327,12.36,85,17,-0.65,-0.51,COGNITIVE RIGIDITY
10:51:25.357,12.65,85,17,-0.62,-0.43,COGNITIVE RIGIDITY
10:51:25.390,12.88,85,17,-0.59,-0.4,COGNITIVE RIGIDITY
10:51:25.421,13.07,85,16,-0.58,-0.39,COGNITIVE RIGIDITY
10:51:25.460,13.25,85,16,-0.56,-0.4,COGNITIVE RIGIDITY
10:51:25.491,13.36,85,16,-0.53,-0.36,COGNITIVE RIGIDITY
10:51:25.520,13.44,85,16,-0.51,-0.33,COGNITIVE RIGIDITY
10:51:25.547,13.46,85,16,-0.5,-0.22,COGNITIVE RIGIDITY
10:51:25.588,13.47,85,16,-0.48,-0.25,COGNITIVE RIGIDITY
10:51:25.620,13.5,85,16,-0.46,-0.29,COGNITIVE RIGIDITY
10:51:25.653,13.54,85,16,-0.43,-0.35,COGNITIVE RIGIDITY
10:51:25.684,13.61,85,16,-0.44,-0.4,COGNITIVE RIGIDITY
10:51:25.715,13.66,85,16,-0.44,-0.38,COGNITIVE RIGIDITY
10:51:25.748,13.64,85,16,-0.41,-0.29,COGNITIVE RIGIDITY
10:51:25.780,13.62,85,16,-0.4,-0.28,COGNITIVE RIGIDITY
10:51:25.811,13.59,85,16,-0.39,-0.29,COGNITIVE RIGIDITY
10:51:25.856,13.59,79,15,-0.44,-0.27,COGNITIVE RIGIDITY
10:51:25.911,13.6,79,15,-0.48,-0.27,COGNITIVE RIGIDITY
10:51:25.964,13.66,79,15,-0.55,-0.29,COGNITIVE RIGIDITY
10:51:26.004,13.8,79,15,-0.66,-0.34,COGNITIVE RIGIDITY
10:51:26.034,13.96,79,15,-0.72,-0.36,COGNITIVE RIGIDITY
10:51:26.054,14.14,79,15,-0.78,-0.38,COGNITIVE RIGIDITY
10:51:26.080,14.3,79,15,-0.78,-0.37,COGNITIVE RIGIDITY
10:51:26.105,14.48,79,15,-0.77,-0.44,COGNITIVE RIGIDITY
10:51:26.130,14.69,79,15,-0.83,-0.49,COGNITIVE RIGIDITY
10:51:26.153,14.92,79,15,-0.87,-0.53,COGNITIVE RIGIDITY
10:51:26.181,15.15,79,15,-0.93,-0.53,COGNITIVE RIGIDITY
10:51:26.211,15.39,79,15,-0.99,-0.52,COGNITIVE RIGIDITY
10:51:26.245,15.57,79,15,-0.99,-0.44,COGNITIVE RIGIDITY
10:51:26.282,15.63,79,15,-0.85,-0.39,COGNITIVE RIGIDITY
10:51:26.319,15.58,79,15,-0.7,-0.33,COGNITIVE RIGIDITY
10:51:26.349,15.47,79,14,-0.6,-0.28,COGNITIVE RIGIDITY
10:51:26.394,15.29,81,14,-0.45,-0.29,COGNITIVE RIGIDITY
10:51:26.431,15.04,81,14,-0.29,-0.27,COGNITIVE RIGIDITY
10:51:26.472,14.76,81,14,-0.18,-0.25,COGNITIVE RIGIDITY
10:51:26.499,14.45,81,14,-0.11,-0.23,COGNITIVE RIGIDITY
10:51:26.535,14.17,81,14,-0.06,-0.27,COGNITIVE RIGIDITY
10:51:26.567,13.91,81,14,-0.0,-0.31,COGNITIVE RIGIDITY
10:51:26.605,13.66,81,14,0.05,-0.34,COGNITIVE RIGIDITY
10:51:26.639,13.45,81,14,0.09,-0.38,COGNITIVE RIGIDITY
10:51:26.672,13.21,81,14,0.19,-0.42,COGNITIVE RIGIDITY
10:51:26.705,12.97,81,14,0.28,-0.43,COGNITIVE RIGIDITY
10:51:26.737,12.72,81,14,0.34,-0.43,COGNITIVE RIGIDITY
10:51:26.769,12.47,81,14,0.39,-0.45,COGNITIVE RIGIDITY
10:51:26.803,12.24,81,14,0.42,-0.46,COGNITIVE RIGIDITY
10:51:26.842,12.04,81,14,0.44,-0.48,COGNITIVE RIGIDITY
10:51:26.872,11.86,81,14,0.45,-0.5,COGNITIVE RIGIDITY
10:51:26.906,11.7,83,13,0.44,-0.49,COGNITIVE RIGIDITY
10:51:26.934,11.56,83,13,0.44,-0.49,COGNITIVE RIGIDITY
10:51:26.961,11.43,83,13,0.44,-0.5,COGNITIVE RIGIDITY
10:51:26.990,11.31,83,13,0.45,-0.5,COGNITIVE RIGIDITY
10:51:27.020,11.22,83,13,0.44,-0.51,COGNITIVE RIGIDITY
10:51:27.050,11.14,83,13,0.42,-0.52,COGNITIVE RIGIDITY
10:51:27.080,11.09,83,13,0.41,-0.53,COGNITIVE RIGIDITY
10:51:27.112,11.07,83,13,0.38,-0.55,COGNITIVE RIGIDITY
10:51:27.142,11.04,83,13,0.38,-0.54,COGNITIVE RIGIDITY
10:51:27.184,11.03,83,13,0.36,-0.55,COGNITIVE RIGIDITY
10:51:27.219,11.01,83,13,0.36,-0.52,COGNITIVE RIGIDITY
10:51:27.251,11.0,83,13,0.34,-0.52,COGNITIVE RIGIDITY
10:51:27.283,10.99,83,13,0.34,-0.51,COGNITIVE RIGIDITY
10:51:27.316,10.99,83,13,0.32,-0.52,COGNITIVE RIGIDITY
10:51:27.349,10.99,83,13,0.31,-0.52,COGNITIVE RIGIDITY
10:51:27.381,11.0,83,13,0.3,-0.52,COGNITIVE RIGIDITY
10:51:27.413,11.02,78,13,0.29,-0.53,COGNITIVE RIGIDITY
10:51:27.444,11.05,78,13,0.27,-0.53,COGNITIVE RIGIDITY
10:51:27.477,11.08,78,13,0.26,-0.53,COGNITIVE RIGIDITY
10:51:27.510,11.11,78,13,0.25,-0.53,COGNITIVE RIGIDITY
10:51:27.540,11.15,78,13,0.25,-0.54,COGNITIVE RIGIDITY
10:51:27.588,11.18,78,12,0.25,-0.54,COGNITIVE RIGIDITY
10:51:27.619,11.15,78,12,0.3,-0.47,COGNITIVE RIGIDITY
10:51:27.652,11.07,78,12,0.36,-0.43,COGNITIVE RIGIDITY
10:51:27.685,10.93,78,12,0.43,-0.37,COGNITIVE RIGIDITY
10:51:27.719,10.78,78,12,0.48,-0.37,COGNITIVE RIGIDITY
10:51:27.751,10.67,78,12,0.46,-0.38,COGNITIVE RIGIDITY
10:51:27.785,10.6,78,12,0.41,-0.42,COGNITIVE RIGIDITY
10:51:27.819,10.58,78,12,0.36,-0.44,COGNITIVE RIGIDITY
10:51:27.853,10.62,78,12,0.3,-0.48,COGNITIVE RIGIDITY
10:51:27.886,10.72,78,12,0.2,-0.52,COGNITIVE RIGIDITY
10:51:27.922,12.87,143,12,0.08,-0.53,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:27.948,14.85,143,12,-0.0,-0.54,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:27.992,16.67,143,12,-0.09,-0.5,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.030,18.32,143,12,-0.17,-0.47,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.060,19.82,143,12,-0.22,-0.45,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.091,21.18,143,12,-0.22,-0.45,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.126,22.4,143,12,-0.22,-0.45,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.154,23.38,143,12,-0.09,-0.36,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.190,23.96,143,18,0.42,-0.25,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.224,24.27,143,18,0.77,-0.18,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.262,24.17,143,18,1.16,0.18,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.293,23.84,143,18,1.53,0.31,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.333,23.33,143,18,1.87,0.38,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
10:51:28.356,22.72,143,17,2.11,0.44,COGNITIVE RIGIDITY | TACHYCARDIA DETECTED (143 BPM)
