Timestamp,Composite_Score,Physio_Tension,Optical_BPM,Blink_Per_Min,AU4_Z,AU23_Z,Flags
02:48:05.452,1.65,16.5,61,0,0.77,0.65,
02:48:05.533,3.63,21.47,61,0,0.43,0.14,
02:48:05.555,5.78,25.12,61,0,0.19,-0.21,
02:48:05.585,8.2,29.95,61,0,-0.16,-0.65,
02:48:05.603,10.79,34.08,61,0,-0.54,-1.01,
02:48:05.638,13.28,35.76,61,0,-0.78,-1.07,
02:48:05.655,15.64,36.85,61,0,-0.96,-1.11,
02:48:05.728,17.6,35.23,61,0,-1.09,-0.67,
02:48:05.752,19.23,33.87,61,0,-1.19,-0.36,
02:48:05.775,20.3,30.0,61,0,-1.55,0.51,
02:48:05.793,21.04,27.63,61,0,-1.81,1.12,
02:48:05.871,21.9,29.72,57,0,-2.24,0.92,
02:48:05.893,22.82,31.05,57,0,-2.53,0.77,
02:48:05.918,23.59,30.53,57,0,-2.33,0.8,
02:48:05.936,24.39,31.56,57,0,-2.5,0.67,
02:48:05.967,25.17,32.18,57,0,-2.69,0.62,
02:48:05.984,25.79,31.35,57,0,-2.55,0.73,
02:48:06.031,26.26,30.57,57,0,-2.38,0.81,
02:48:06.048,26.64,30.0,57,0,-2.26,0.87,
02:48:06.140,27.18,32.04,57,0,-2.4,0.55,
02:48:06.172,28.32,33.55,57,0,-2.5,0.33,SUPPRESSION PROFILE
02:48:06.192,29.55,35.7,57,0,-2.7,0.04,SUPPRESSION PROFILE
02:48:06.216,30.87,37.73,57,0,-2.91,-0.25,SUPPRESSION PROFILE
02:48:06.242,31.73,39.49,57,0,-2.95,-0.53,
02:48:06.262,32.61,40.48,57,0,-2.85,-0.73,
02:48:06.303,33.41,40.61,57,0,-2.66,-0.8,
02:48:06.319,34.09,40.2,57,0,-2.37,-0.82,
02:48:06.367,34.65,39.75,61,0,-2.13,-0.83,
02:48:06.386,35.2,40.1,61,0,-2.24,-0.85,
02:48:06.457,35.73,40.55,61,0,-2.53,-0.83,
02:48:06.476,36.24,40.79,61,0,-2.72,-0.81,
02:48:06.522,36.81,41.92,61,0,-3.49,-0.88,
02:48:06.543,37.37,42.45,61,0,-4.03,-0.92,
02:48:06.577,37.85,42.12,61,0,-4.03,-0.86,
02:48:06.591,38.25,41.88,61,0,-4.02,-0.81,
02:48:06.674,38.71,42.85,61,0,-4.09,-1.0,
02:48:06.701,39.19,43.49,61,0,-4.14,-1.13,
02:48:06.720,39.56,42.94,61,0,-4.74,-0.98,
02:48:06.737,39.85,42.48,61,0,-5.16,-0.87,
02:48:06.767,40.22,43.47,61,0,-5.59,-1.06,
