Timestamp,Score,Physio,OptHR,BlinkRate,AU4_Z,AU23_Z,Flags
03:19:24.680,2.85,28.52,54,40,0.15,-0.75,
03:19:24.697,5.51,29.48,54,40,-0.07,-0.68,
03:19:24.750,7.9,29.4,54,40,-0.18,-0.54,
03:19:24.775,10.05,29.33,54,40,-0.26,-0.44,
03:19:24.798,11.98,29.34,54,40,-0.21,-0.49,
03:19:24.816,13.71,29.34,54,40,-0.18,-0.53,
03:19:24.891,15.05,27.12,54,40,0.2,-0.55,
03:19:24.911,16.11,25.61,54,40,0.46,-0.57,
03:19:24.941,17.2,27.0,54,40,0.3,-0.64,
03:19:24.957,18.25,27.75,54,40,0.23,-0.7,
03:19:25.029,19.27,28.4,54,40,0.17,-0.74,
03:19:25.051,20.23,28.85,54,40,0.12,-0.77,
03:19:25.077,21.2,29.98,54,40,-0.07,-0.76,
03:19:25.095,22.16,30.76,54,40,-0.2,-0.75,
03:19:25.134,22.83,28.84,54,40,0.07,-0.72,
03:19:25.148,23.29,27.5,54,40,0.26,-0.69,
03:19:25.217,23.56,25.99,54,40,0.32,-0.49,
03:19:25.240,23.7,24.9,54,40,0.36,-0.34,
03:19:25.270,23.77,24.42,54,40,0.36,-0.27,
03:19:25.289,23.8,24.08,54,40,0.37,-0.22,
03:19:25.343,23.69,22.73,54,40,0.63,-0.25,
03:19:25.358,23.51,21.85,54,40,0.82,-0.27,
03:19:25.419,23.34,21.85,54,40,0.96,-0.39,
03:19:25.440,23.2,21.87,54,40,1.05,-0.47,
03:19:25.473,22.92,20.43,54,40,1.54,-0.58,
03:19:25.488,22.6,19.74,54,40,1.88,-0.65,
03:19:25.557,22.24,18.96,54,40,2.26,-0.68,
03:19:25.575,21.87,18.57,54,40,2.53,-0.7,
03:19:25.603,21.48,17.92,54,40,2.59,-0.61,
03:19:25.621,21.07,17.4,54,40,2.54,-0.5,
03:19:25.683,20.68,17.14,54,40,2.45,-0.43,
03:19:25.699,20.3,16.97,54,40,2.39,-0.38,
03:19:25.758,20.05,17.77,54,40,2.18,-0.45,
03:19:25.774,19.88,18.37,54,40,2.04,-0.49,
03:19:25.821,19.64,17.44,54,40,2.0,-0.32,
03:19:25.840,19.35,16.78,54,40,1.97,-0.2,
03:19:25.870,19.53,15.12,54,40,1.83,0.14,AU23 MICRO-LEAKAGE
03:19:25.888,19.58,14.02,54,40,1.72,0.37,AU23 MICRO-LEAKAGE
03:19:25.935,19.81,15.92,54,40,1.39,0.25,AU23 MICRO-LEAKAGE
03:19:25.952,20.41,19.83,54,40,0.82,0.05,AU23 MICRO-LEAKAGE
03:19:26.032,20.7,23.32,54,40,0.39,-0.12,
03:19:26.053,21.22,25.89,54,40,0.09,-0.23,
03:19:26.073,21.65,25.47,54,40,0.31,-0.38,
03:19:26.089,22.03,25.47,54,40,0.43,-0.51,
03:19:26.167,22.43,26.04,53,40,0.43,-0.61,
03:19:26.188,22.83,26.42,53,40,0.43,-0.68,
03:19:26.211,23.99,28.4,53,40,0.17,-0.75,AU23 MICRO-LEAKAGE
03:19:26.229,25.2,30.16,53,40,-0.09,-0.78,AU23 MICRO-LEAKAGE
03:19:26.288,26.46,31.75,53,40,-0.32,-0.8,AU23 MICRO-LEAKAGE
03:19:26.306,27.7,32.83,53,40,-0.49,-0.82,AU23 MICRO-LEAKAGE
03:19:26.336,29.19,36.63,53,40,-1.2,-0.83,AU23 MICRO-LEAKAGE
03:19:26.353,30.73,38.6,53,40,-1.7,-0.84,AU23 MICRO-LEAKAGE
03:19:26.397,32.17,39.13,53,40,-1.92,-0.82,AU23 MICRO-LEAKAGE
03:19:26.415,32.9,39.43,53,40,-2.07,-0.8,
03:19:26.497,33.55,39.4,53,40,-2.06,-0.79,
03:19:26.520,34.13,39.37,53,40,-2.05,-0.79,
03:19:26.542,34.42,37.02,53,40,-1.65,-0.59,
03:19:26.558,34.49,35.1,53,40,-1.36,-0.44,
03:19:26.631,34.43,33.95,53,40,-1.1,-0.44,
03:19:26.654,34.29,33.05,53,40,-0.91,-0.44,
03:19:26.676,33.68,28.14,60,40,-0.02,-0.49,
03:19:26.693,32.77,24.57,60,40,0.61,-0.53,
03:19:26.756,32.77,0,60,44,1.03,-0.63,EXPRESSION_EVENT
03:19:26.774,32.77,0,60,44,1.33,-0.71,EXPRESSION_EVENT
03:19:26.799,32.77,0,60,44,1.25,-0.7,EXPRESSION_EVENT
03:19:26.817,32.77,0,60,44,1.2,-0.69,EXPRESSION_EVENT
03:19:26.889,32.77,0,60,44,1.43,-0.66,EXPRESSION_EVENT
03:19:26.908,32.77,0,60,44,1.59,-0.63,EXPRESSION_EVENT
03:19:26.940,32.77,0,60,44,1.36,-0.7,EXPRESSION_EVENT
03:19:26.957,32.77,0,60,44,1.12,-0.64,EXPRESSION_EVENT
03:19:27.032,32.77,0,60,44,0.84,-0.59,EXPRESSION_EVENT
03:19:27.051,32.77,0,60,44,0.63,-0.56,EXPRESSION_EVENT
03:19:27.073,32.77,0,60,44,0.58,-0.41,EXPRESSION_EVENT
03:19:27.091,32.77,0,60,44,0.55,-0.31,EXPRESSION_EVENT
03:19:30.103,33.54,40.44,66,44,-2.18,-0.94,
03:19:30.170,34.23,40.46,66,44,-2.14,-0.96,
03:19:30.191,34.85,40.47,66,44,-2.11,-0.98,
03:19:30.214,35.4,40.32,66,44,-2.05,-0.98,
03:19:30.233,35.86,39.98,66,44,-1.92,-0.98,
03:19:30.268,36.24,39.66,66,44,-1.8,-0.98,
03:19:30.286,36.48,38.71,66,44,-1.52,-0.98,
03:19:30.363,36.59,37.53,66,44,-1.23,-0.98,
03:19:30.383,36.59,36.59,66,44,-1.02,-0.98,
03:19:30.405,36.72,37.88,66,44,-1.3,-0.99,
03:19:30.422,36.91,38.68,66,44,-1.5,-0.99,
03:19:30.500,37.13,39.06,66,44,-1.6,-1.0,
03:19:30.521,37.35,39.32,66,44,-1.68,-1.0,
03:19:30.547,37.58,39.63,66,44,-1.78,-0.99,
03:19:30.566,37.8,39.84,66,44,-1.85,-0.99,
03:19:30.632,38.06,40.36,66,44,-2.05,-0.99,
03:19:30.655,38.32,40.67,66,44,-2.18,-0.99,
03:19:30.676,38.49,40.07,66,44,-1.99,-0.96,
03:19:30.694,38.64,39.97,66,44,-1.98,-0.94,
03:19:30.753,38.78,40.06,66,44,-2.05,-0.93,
03:19:30.781,38.92,40.12,66,44,-2.1,-0.91,
03:19:30.804,39.12,40.94,66,44,-2.45,-0.93,
03:19:30.821,39.35,41.41,66,40,-2.68,-0.95,
03:19:30.883,39.56,41.51,66,40,-2.73,-0.95,
03:19:30.903,40.67,41.58,78,40,-2.75,-0.96,"TACHYCARDIA (78bpm, thr 74)"
03:19:30.960,41.69,41.89,78,40,-2.98,-0.97,"TACHYCARDIA (78bpm, thr 74)"
03:19:30.984,42.63,42.08,78,40,-3.13,-0.97,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.008,43.4,41.32,78,40,-2.55,-0.97,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.026,44.01,40.52,78,40,-2.15,-0.97,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.092,44.37,38.62,78,40,-1.53,-0.96,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.111,44.51,36.76,78,40,-1.09,-0.95,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.135,44.48,35.18,78,40,-0.79,-0.94,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.154,44.46,35.31,78,40,-0.82,-0.94,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.206,44.53,36.17,78,40,-0.98,-0.94,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.224,44.7,37.25,78,40,-1.21,-0.94,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.260,44.97,38.36,78,40,-1.47,-0.95,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.279,45.25,38.75,78,40,-1.58,-0.95,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.356,45.51,38.89,78,40,-1.61,-0.95,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.376,45.76,38.98,78,40,-1.64,-0.95,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.421,45.95,38.7,78,40,-1.56,-0.96,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.441,46.11,38.5,78,40,-1.5,-0.96,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.468,46.19,37.95,78,40,-1.38,-0.94,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.486,46.23,37.55,78,40,-1.3,-0.92,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.561,46.28,37.73,78,40,-1.36,-0.91,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.583,46.33,37.84,78,40,-1.4,-0.91,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.605,46.35,37.55,78,40,-1.33,-0.9,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.622,46.31,36.86,78,40,-1.19,-0.89,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.671,46.15,35.79,78,36,-0.98,-0.87,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.693,45.94,34.98,78,36,-0.84,-0.85,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.770,45.64,34.0,78,36,-0.66,-0.85,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.793,45.31,33.28,78,36,-0.54,-0.85,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.814,45.25,35.76,78,36,-0.99,-0.85,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.831,45.33,37.05,78,36,-1.26,-0.86,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.887,45.44,37.45,78,36,-1.34,-0.87,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.906,45.57,37.72,78,36,-1.4,-0.88,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.946,45.57,36.53,78,36,-1.12,-0.88,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.969,45.47,35.58,78,36,-0.93,-0.88,"TACHYCARDIA (78bpm, thr 74)"
03:19:31.998,45.47,0,78,36,-0.8,-0.88,EXPRESSION_EVENT
